obs_id,train_id,price,carat,cut,color,clarity,depth,table,x,y,z
id_000001,train,787,0.28,Ideal,F,VVS2,62.6,55,4.2,4.23,2.64
id_000002,train,2346,0.71,Very Good,F,SI1,62.1,59,5.64,5.73,3.53
id_000003,train,478,0.26,Ideal,G,VS1,62.1,55,4.09,4.12,2.55
id_000004,test,NA,1,Good,D,VS2,64.1,58,6.24,6.33,4.03
id_000005,train,5818,1.2,Good,I,VS1,59.6,61,6.84,6.89,4.09
id_000006,test,NA,0.57,Very Good,G,SI1,63.4,57,5.26,5.21,3.32
id_000007,test,NA,0.75,Ideal,E,SI2,62.1,57,5.81,5.85,3.62
id_000008,valid,570,0.3,Ideal,F,VS1,62.6,57,4.29,4.34,2.7
id_000009,valid,2980,0.64,Good,F,IF,58.6,61,5.69,5.71,3.34
id_000010,train,2854,0.73,Premium,E,VS2,62,57,5.86,5.76,3.6
id_000011,train,483,0.35,Ideal,J,VS1,62.6,53.7,4.51,4.54,2.83
id_000012,train,1310,0.52,Very Good,I,VS1,61,58,5.18,5.22,3.17
id_000013,valid,5394,1.01,Very Good,D,SI1,59.8,56,6.57,6.6,3.94
id_000014,train,828,0.32,Ideal,F,VS2,62.4,56,4.37,4.35,2.72
id_000015,valid,7279,1.01,Good,G,VVS1,63.1,59,6.33,6.42,4.02
id_000016,train,1427,0.59,Good,I,VVS2,57.8,61,5.52,5.6,3.21
id_000017,valid,15398,2.04,Premium,E,SI2,62.7,60,8.04,8,5.03
id_000018,test,NA,0.56,Premium,D,SI1,61.4,58,5.29,5.33,3.26
id_000019,train,821,0.39,Very Good,F,VS2,58.8,59,4.8,4.83,2.83
id_000020,valid,3212,0.61,Ideal,E,VVS1,59.9,61,5.5,5.55,3.31
id_000021,test,NA,0.51,Ideal,I,SI1,62.5,57,5.1,5.07,3.18
id_000022,train,564,0.26,Good,F,VVS1,63.3,57,4.05,4.07,2.57
id_000023,valid,583,0.31,Good,G,VS1,63.3,57,4.28,4.31,2.72
id_000024,train,2150,0.7,Good,G,SI1,63.7,60,5.57,5.51,3.53
id_000025,train,9526,1.16,Ideal,G,VVS1,62,57,6.72,6.74,4.17
id_000026,train,1115,0.41,Premium,H,VVS1,61.4,60,4.78,4.73,2.92
id_000027,train,1607,0.53,Premium,E,SI1,60,60,5.27,5.24,3.21
id_000028,train,4456,1.11,Very Good,H,SI2,59.8,60,6.66,6.75,4.01
id_000029,test,NA,0.36,Premium,D,SI1,60.4,58,4.64,4.6,2.79
id_000030,train,990,0.44,Premium,I,VVS1,61.5,58,4.95,4.87,3.02
id_000031,train,1210,0.73,Good,G,I1,63.9,55,5.76,5.69,3.65
id_000032,train,6319,1.08,Very Good,F,VS2,63.1,57,6.56,6.5,4.12
id_000033,train,12898,2.01,Premium,E,SI1,60.4,61,8.05,7.98,4.84
id_000034,train,2137,0.7,Good,H,VS2,64.5,57,5.53,5.57,3.58
id_000035,valid,996,0.45,Premium,F,SI2,62.6,57,4.94,4.87,3.07
id_000036,valid,2603,0.7,Premium,H,VVS1,58.3,60,5.83,5.8,3.39
id_000037,valid,2055,0.56,Ideal,G,VVS1,62.3,55,5.25,5.31,3.29
id_000038,train,625,0.31,Very Good,F,VS2,61.4,62,4.32,4.34,2.66
id_000039,valid,10644,1.15,Ideal,G,VVS1,62.7,56,6.69,6.67,4.19
id_000040,train,15601,1.78,Premium,H,VS1,60.2,59,7.96,7.83,4.75
id_000041,valid,8752,1.51,Premium,H,SI1,61.5,58,7.38,7.31,4.52
id_000042,valid,6539,1.03,Very Good,G,VS1,62.2,57,6.42,6.47,4.01
id_000043,valid,1134,0.63,Good,J,SI1,59.9,64,5.63,5.58,3.36
id_000044,train,2263,0.8,Very Good,H,SI2,59.7,58,6.03,6.09,3.62
id_000045,train,4319,1.07,Premium,F,SI2,58.2,58,6.79,6.72,3.93
id_000046,valid,522,0.35,Good,G,SI1,63.8,54,4.46,4.48,2.85
id_000047,train,7016,1.34,Ideal,I,VS1,62.2,57,7.02,7.06,4.38
id_000048,train,4463,1.14,Premium,H,SI1,62.1,59,6.73,6.61,4.14
id_000049,valid,2077,0.55,Ideal,G,VVS1,61.2,56,5.27,5.3,3.24
id_000050,valid,1708,0.51,Ideal,E,VS1,61.5,53,5.17,5.24,3.2
id_000051,train,5932,1.15,Very Good,D,SI1,61.7,58,6.69,6.76,4.15
id_000052,test,NA,0.78,Very Good,E,VS1,60.9,57,5.94,5.88,3.59
id_000053,train,4452,1,Premium,F,SI2,61.6,61,6.36,6.33,3.91
id_000054,train,1410,0.55,Very Good,F,SI1,59.5,61,5.28,5.41,3.18
id_000055,train,2196,0.7,Premium,F,SI1,60.4,58,5.76,5.82,3.5
id_000056,train,4020,0.97,Premium,F,SI2,58.9,58,6.51,6.47,3.82
id_000057,train,5904,1.09,Ideal,I,VS2,61.8,57,6.55,6.59,4.06
id_000058,train,2300,0.72,Ideal,F,SI2,61.2,58,5.72,5.78,3.52
id_000059,valid,3603,0.8,Very Good,F,VS1,63.8,55,5.84,5.89,3.74
id_000060,train,5624,1.64,Premium,J,SI2,63,58,7.54,7.49,4.74
id_000061,test,NA,0.3,Very Good,D,VS2,62.5,57,4.26,4.28,2.67
id_000062,train,2723,0.82,Premium,F,SI2,60.3,57,6.07,6.03,3.65
id_000063,train,1255,0.54,Very Good,F,SI1,63,57,5.18,5.23,3.28
id_000064,train,14341,1.61,Ideal,G,VS1,61.9,55,7.58,7.55,4.68
id_000065,valid,1593,0.55,Premium,I,VVS1,61.3,59,5.27,5.3,3.24
id_000066,train,13134,1.83,Very Good,E,SI2,62.8,56,7.76,7.82,4.89
id_000067,train,2856,0.6,Ideal,F,VVS2,60.8,57,5.44,5.49,3.32
id_000068,valid,3886,1.05,Premium,E,SI2,62.2,59,6.51,6.44,4.03
id_000069,train,5920,1.28,Very Good,I,SI1,63.6,54,6.87,6.9,4.38
id_000070,test,NA,0.41,Premium,G,VS1,62.7,57,4.77,4.74,2.98
id_000071,train,3881,0.9,Very Good,F,SI1,63.2,61,6.13,6.09,3.86
id_000072,valid,3504,0.7,Ideal,E,VS2,60.8,56,5.74,5.78,3.5
id_000073,train,803,0.42,Premium,I,SI1,61.2,60,4.82,4.78,2.94
id_000074,train,579,0.33,Very Good,G,VS2,62.6,58,4.36,4.4,2.74
id_000075,train,2066,1.05,Good,E,I1,64.1,58,6.46,6.32,4.09
id_000076,test,NA,0.35,Premium,H,SI2,61.6,58,4.54,4.49,2.78
id_000077,valid,3752,0.9,Very Good,G,SI1,63.8,57,6.04,6.13,3.88
id_000078,train,1103,0.56,Ideal,F,SI2,61.8,57,5.28,5.33,3.28
id_000079,valid,6912,1.01,Good,D,VS2,61.8,59,6.28,6.35,3.9
id_000080,test,NA,0.9,Very Good,D,SI1,63.4,53,6.1,6.17,3.89
id_000081,train,1103,0.35,Premium,G,VVS1,61.8,57,4.53,4.5,2.79
id_000082,valid,1822,0.52,Ideal,D,VS2,62.6,55,5.12,5.14,3.21
id_000083,train,579,0.33,Ideal,G,VS2,62.5,57,4.39,4.41,2.75
id_000084,test,NA,1,Very Good,E,SI2,60.6,60,6.33,6.4,3.86
id_000085,valid,12063,1.76,Premium,D,SI1,61,60,7.76,7.68,4.77
id_000086,train,1363,0.53,Ideal,F,SI1,62.9,57,5.18,5.15,3.25
id_000087,valid,675,0.3,Premium,E,SI1,62.4,58,4.28,4.24,2.66
id_000088,train,4752,1.07,Ideal,G,SI2,62.1,55,6.54,6.61,4.08
id_000089,train,1738,0.5,Very Good,F,VS1,62.6,59,5.03,5.06,3.16
id_000090,train,2541,0.7,Ideal,H,VVS1,62,57,5.66,5.7,3.52
id_000091,train,1024,0.39,Premium,D,VS2,61.4,60,4.72,4.7,2.89
id_000092,train,1800,0.51,Good,G,VVS2,63.7,54,5.08,5.1,3.24
id_000093,train,1286,0.59,Very Good,E,SI2,63.8,57,5.31,5.34,3.4
id_000094,valid,1793,0.59,Ideal,E,SI1,60.7,56,5.45,5.49,3.32
id_000095,valid,10827,1.53,Premium,H,VS2,59.9,60,7.5,7.46,4.48
id_000096,valid,3677,0.9,Ideal,I,VS1,61.6,56,6.22,6.16,3.81
id_000097,train,1013,0.38,Ideal,D,VS2,61.8,56,4.65,4.67,2.88
id_000098,train,798,0.35,Very Good,G,VVS2,62.8,58,4.44,4.48,2.8
id_000099,valid,12392,1.57,Very Good,H,SI1,62.4,58,7.39,7.49,4.64
id_000100,train,827,0.41,Good,E,VS1,62.8,58,4.67,4.7,2.94
id_000101,train,2823,0.61,Ideal,E,VVS2,61.3,54,5.51,5.59,3.4
id_000102,train,16392,2.07,Premium,I,SI1,62.9,59,8.15,8.09,5.11
id_000103,train,1022,0.43,Premium,D,SI1,62.4,60,4.82,4.79,3
id_000104,test,NA,0.9,Ideal,D,SI2,60.8,56,6.24,6.26,3.8
id_000105,train,2275,0.79,Premium,H,SI1,61.8,59,5.97,5.91,3.67
id_000106,train,4558,1.02,Good,H,SI1,63.9,55,6.4,6.37,4.08
id_000107,train,5122,1.01,Fair,D,SI1,66.2,56,6.05,6.1,4.02
id_000108,train,1050,0.4,Premium,F,VS1,60.4,59,4.76,4.75,2.87
id_000109,test,NA,0.73,Ideal,I,VVS1,61.8,57,5.75,5.77,3.56
id_000110,train,2025,0.5,Ideal,F,VVS2,62.2,54,5.07,5.12,3.17
id_000111,test,NA,0.3,Premium,G,VS2,61.8,60,4.29,4.25,2.64
id_000112,valid,3909,0.71,Ideal,G,VVS2,61.5,57,5.74,5.78,3.54
id_000113,train,512,0.23,Ideal,H,VS2,62.3,53,3.96,3.99,2.48
id_000114,test,NA,0.32,Ideal,F,VS2,61.3,56,4.43,4.41,2.71
id_000115,train,5433,1.05,Premium,E,SI1,61.2,58,6.57,6.53,4.01
id_000116,train,1076,0.41,Ideal,F,VS1,62.1,56,4.76,4.74,2.95
id_000117,valid,2310,0.7,Very Good,G,SI1,61.7,56,5.66,5.75,3.52
id_000118,train,5998,1.02,Premium,D,SI1,62.5,59,6.4,6.34,3.98
id_000119,train,13182,2.1,Ideal,I,SI1,61.7,55,8.21,8.13,5.04
id_000120,train,928,0.33,Ideal,E,VS2,60.3,57,4.54,4.51,2.73
id_000121,test,NA,0.61,Ideal,G,VVS2,60.1,57,5.52,5.54,3.32
id_000122,train,6078,1.34,Ideal,H,VS2,61.2,56,7.09,7.05,4.33
id_000123,train,680,0.38,Very Good,I,VS2,61.7,56,4.65,4.68,2.88
id_000124,train,3541,1.52,Premium,I,I1,61.2,58,7.43,7.35,4.52
id_000125,valid,2075,0.7,Premium,F,SI2,62.6,58,5.64,5.6,3.52
id_000126,train,8742,1.03,Ideal,D,VS1,61.5,57,6.48,6.52,4
id_000127,test,NA,0.52,Ideal,F,VS1,61.3,56,5.19,5.22,3.19
id_000128,train,1668,0.51,Ideal,H,VS1,61.6,55,5.17,5.19,3.19
id_000129,train,3740,0.9,Good,D,SI2,63.6,57,6.07,6.03,3.85
id_000130,train,998,0.38,Premium,F,VS1,62.4,59,4.63,4.57,2.87
id_000131,train,6438,1.31,Premium,I,VS2,61.9,59,7.02,6.98,4.33
id_000132,test,NA,0.38,Premium,I,SI1,60.5,58,4.67,4.72,2.84
id_000133,train,1819,0.55,Ideal,F,VS2,61.1,57,5.3,5.27,3.23
id_000134,train,1998,0.57,Very Good,D,VS2,61.4,56,5.34,5.37,3.29
id_000135,test,NA,0.43,Very Good,E,VVS2,59.3,59,4.95,4.97,2.94
id_000136,train,1817,0.7,Ideal,H,SI2,61.1,57,5.73,5.76,3.51
id_000137,train,732,0.31,Good,D,SI1,63.7,54,4.35,4.31,2.76
id_000138,test,NA,1.59,Premium,H,SI1,61,58,7.58,7.51,4.6
id_000139,test,NA,1.73,Ideal,H,SI1,62.7,56,7.62,7.67,4.79
id_000140,train,6128,1.06,Ideal,G,VS2,61.8,57,6.52,6.56,4.04
id_000141,train,4207,1.02,Very Good,F,SI2,60,60,6.53,6.57,3.93
id_000142,train,2444,0.78,Premium,F,SI2,62.7,56,5.87,5.84,3.67
id_000143,train,2479,0.7,Fair,G,VS2,64.9,57,5.55,5.54,3.6
id_000144,train,6108,1.01,Premium,G,VS2,62.4,58,6.41,6.38,3.99
id_000145,test,NA,0.7,Fair,G,VVS2,65.3,61,5.58,5.48,3.61
id_000146,train,896,0.4,Ideal,H,SI1,61.8,57,4.75,4.77,2.94
id_000147,train,883,0.4,Ideal,G,VVS2,61.4,53,4.73,4.81,2.93
id_000148,valid,6863,1.02,Very Good,D,SI1,60.3,56,6.55,6.57,3.96
id_000149,train,7226,1,Good,E,VVS2,65.3,56,6.19,6.24,4.06
id_000150,valid,2512,0.7,Very Good,G,VS1,60.8,56,5.72,5.76,3.49
id_000151,train,2276,0.73,Ideal,F,SI2,62.1,56,5.77,5.8,3.59
id_000152,train,914,0.39,Very Good,E,VS1,62.5,58,4.67,4.7,2.93
id_000153,train,6140,1.29,Premium,I,SI1,62.2,58,7.03,6.96,4.35
id_000154,train,2617,0.7,Ideal,E,SI1,60.2,58,5.75,5.78,3.47
id_000155,train,5042,1.11,Very Good,D,SI2,59.9,57,6.72,6.74,4.03
id_000156,test,NA,0.32,Premium,J,VS1,61.7,58,4.4,4.38,2.71
id_000157,train,735,0.3,Ideal,G,VVS1,60.9,56.8,4.34,4.38,2.65
id_000158,train,4113,1.02,Premium,H,SI2,61.1,61,6.51,6.48,3.97
id_000159,train,752,0.39,Ideal,G,VS1,61.3,56,4.68,4.71,2.88
id_000160,train,1129,0.43,Premium,F,VS1,61,57,4.89,4.84,2.97
id_000161,train,4105,0.91,Very Good,G,VS2,64,56.6,6.09,6.15,3.92
id_000162,test,NA,0.38,Ideal,G,SI1,60.6,57,4.71,4.76,2.87
id_000163,test,NA,0.74,Ideal,G,VS1,61.2,56,5.83,5.86,3.58
id_000164,valid,893,0.34,Premium,E,VS2,62.7,56,4.51,4.48,2.82
id_000165,valid,948,0.43,Very Good,E,SI1,63.1,56,4.83,4.8,3.04
id_000166,train,470,0.27,Very Good,E,VS1,62.9,56,4.12,4.15,2.6
id_000167,test,NA,1.12,Premium,I,SI1,61.3,58,6.69,6.68,4.1
id_000168,train,452,0.26,Ideal,F,VS1,62.3,56,4.08,4.1,2.55
id_000169,valid,4751,1.01,Premium,E,SI2,62.6,57,6.35,6.33,3.97
id_000170,train,7759,1.52,Very Good,J,SI1,59.9,57,7.45,7.47,4.47
id_000171,train,2586,0.77,Very Good,G,SI1,63.2,57,5.86,5.76,3.67
id_000172,test,NA,1,Good,G,VS2,63.5,59,6.23,6.33,3.99
id_000173,valid,18531,2.22,Ideal,I,VS2,61.3,56,8.45,8.36,5.15
id_000174,train,779,0.3,Ideal,E,VVS2,61.7,53.8,4.31,4.34,2.67
id_000175,train,6225,1.09,Ideal,I,VS1,61.4,56,6.61,6.66,4.07
id_000176,valid,10888,1.22,Ideal,G,VVS1,61.1,56,6.91,6.94,4.23
id_000177,train,2360,0.71,Ideal,H,SI2,62.2,55,5.72,5.7,3.55
id_000178,test,NA,1.21,Ideal,J,VS2,62.5,57,6.79,6.74,4.23
id_000179,train,813,0.41,Very Good,G,VS2,61.4,59.2,4.76,4.78,2.93
id_000180,valid,1410,0.5,Ideal,E,SI1,60.1,57,5.14,5.27,3.13
id_000181,train,584,0.37,Premium,I,VS1,61.4,59,4.55,4.61,2.81
id_000182,train,4165,0.9,Good,E,SI1,58.3,61,6.24,6.29,3.65
id_000183,valid,2037,1.04,Fair,I,I1,67.3,56,6.34,6.23,4.22
id_000184,test,NA,0.5,Ideal,H,VVS2,60.3,58,5.14,5.21,3.12
id_000185,valid,3838,1.12,Premium,G,SI2,61,60,6.7,6.64,4.07
id_000186,train,1779,0.51,Ideal,D,VS1,62.4,57,5.09,5.13,3.19
id_000187,valid,2822,0.71,Ideal,D,SI1,60.2,56,5.86,5.83,3.52
id_000188,test,NA,0.3,Ideal,D,VVS2,61.7,57,4.3,4.32,2.66
id_000189,valid,5285,1.04,Very Good,H,SI1,62,58,6.42,6.48,4
id_000190,train,2822,0.72,Premium,E,VS2,60.9,60,5.8,5.76,3.52
id_000191,train,5294,1.01,Premium,H,VS1,61.2,61,6.44,6.41,3.93
id_000192,test,NA,1.14,Good,G,SI2,63.7,58,6.62,6.54,4.19
id_000193,train,2422,0.7,Very Good,H,VS1,62.1,56,5.65,5.68,3.52
id_000194,valid,5288,1.33,Premium,F,SI2,60.7,62,7.12,7.07,4.31
id_000195,train,8858,1.56,Premium,I,VVS2,60.5,58,7.53,7.45,4.53
id_000196,train,5728,1,Ideal,E,SI1,62.8,54.2,6.32,6.4,4.01
id_000197,train,16733,2.01,Ideal,H,SI1,65.1,56,7.91,7.84,5.12
id_000198,valid,444,0.32,Premium,E,I1,60.9,58,4.42,4.38,2.68
id_000199,train,16643,1.67,Ideal,G,VS1,61.5,55,7.62,7.67,4.7
id_000200,valid,9069,1.51,Good,D,SI2,62.1,60,7.25,7.3,4.52
id_000201,train,4202,1.1,Very Good,I,SI2,60.5,59,6.65,6.71,4.04
id_000202,test,NA,1.01,Ideal,F,SI1,60,56,6.55,6.49,3.91
id_000203,train,6915,1.02,Very Good,E,VS2,60,59,6.54,6.59,3.94
id_000204,test,NA,0.32,Ideal,H,VVS1,62.2,56,4.38,4.37,2.72
id_000205,train,2333,0.72,Premium,E,SI1,62.8,52,5.78,5.72,3.61
id_000206,valid,4627,1.08,Premium,G,SI2,62.9,59,6.57,6.53,4.12
id_000207,test,NA,0.48,Ideal,F,IF,62.1,55,5,5.05,3.12
id_000208,train,6050,1,Good,E,VS2,57.4,58,6.57,6.61,3.78
id_000209,test,NA,1.61,Ideal,G,SI1,62.4,55,7.51,7.48,4.68
id_000210,test,NA,0.32,Ideal,E,VS2,61,56,4.4,4.42,2.69
id_000211,test,NA,0.73,Premium,E,VS1,62.6,60,5.68,5.75,3.58
id_000212,train,2207,0.61,Premium,D,VS1,62.4,57,5.46,5.44,3.4
id_000213,valid,4972,1.06,Very Good,E,SI2,62.1,56,6.52,6.59,4.07
id_000214,valid,1079,0.41,Premium,E,VS1,60.8,59,4.76,4.82,2.91
id_000215,valid,5570,1.2,Good,I,VS1,57.8,61,7.02,6.96,4.04
id_000216,test,NA,0.9,Good,H,SI1,62.8,62,6.05,6.09,3.81
id_000217,train,650,0.28,Ideal,G,IF,61.5,57,4.19,4.21,2.58
id_000218,valid,3472,1,Good,H,SI2,63.7,58,6.28,6.15,3.96
id_000219,valid,778,0.31,Ideal,G,VVS1,62.3,53,4.37,4.42,2.74
id_000220,test,NA,1.01,Fair,H,SI2,65.4,59,6.3,6.26,4.11
id_000221,test,NA,0.93,Premium,E,I1,62.3,60,6.2,6.23,3.87
id_000222,train,756,0.32,Ideal,D,SI1,62.6,55,4.39,4.36,2.74
id_000223,train,2090,0.54,Ideal,G,VVS2,60.6,56,5.27,5.26,3.19
id_000224,train,761,0.31,Very Good,G,VVS1,62.8,57,4.3,4.33,2.71
id_000225,test,NA,1.05,Good,G,SI2,63.2,54,6.49,6.52,4.11
id_000226,test,NA,0.33,Ideal,G,VS1,62.4,56,4.43,4.45,2.77
id_000227,test,NA,0.7,Ideal,F,SI2,62,55,5.69,5.73,3.54
id_000228,train,2243,0.61,Very Good,E,VS1,61.1,58,5.47,5.52,3.36
id_000229,train,4235,1.1,Very Good,I,SI1,60.4,61,6.69,6.73,4.05
id_000230,test,NA,0.7,Fair,I,I1,68.6,57,5.46,5.34,3.71
id_000231,train,4072,1.01,Good,F,SI2,63.6,59,6.38,6.34,4.04
id_000232,train,14973,2,Good,J,VS1,62.4,58,8.01,8.08,5.02
id_000233,train,665,0.3,Ideal,H,VVS1,62,56,4.29,4.32,2.67
id_000234,test,NA,0.31,Ideal,F,VS2,61.9,55,4.35,4.31,2.68
id_000235,test,NA,0.35,Ideal,E,SI1,61,57,4.57,4.54,2.78
id_000236,train,1443,0.51,Ideal,E,SI1,62.3,56,5.15,5.12,3.2
id_000237,train,2511,0.71,Ideal,E,SI2,59.5,57,5.87,5.82,3.48
id_000238,test,NA,0.9,Ideal,H,SI2,62.6,57,6.16,6.07,3.83
id_000239,train,8092,1.51,Ideal,J,VS1,62.7,56,7.3,7.35,4.59
id_000240,test,NA,0.4,Ideal,D,VVS2,62.8,56,4.68,4.72,2.95
id_000241,train,565,0.31,Ideal,D,SI1,61.7,55,4.37,4.41,2.71
id_000242,train,5521,1.23,Premium,I,VS2,61.7,58,6.85,6.87,4.23
id_000243,valid,4418,1.15,Very Good,H,SI2,61.4,58,6.7,6.75,4.13
id_000244,train,3385,0.78,Very Good,E,SI1,59.8,57,5.98,6.02,3.59
id_000245,train,2451,0.73,Ideal,I,VVS2,60.1,56,5.88,5.86,3.53
id_000246,train,833,0.37,Ideal,E,SI1,61.9,56,4.6,4.57,2.84
id_000247,test,NA,1.53,Ideal,G,SI2,61.7,57,7.44,7.41,4.58
id_000248,train,1080,0.4,Premium,F,VS2,59.7,58,4.83,4.79,2.87
id_000249,train,2979,0.7,Ideal,E,VS2,61.7,56,5.74,5.71,3.53
