obs_id,train_id,score,name,type,price,num_reviews
id_000001,train,96,irish_breakfast,black,10,3675
id_000002,train,95,earl_grey_bravo,black,10,3520
id_000003,train,95,golden_monkey,black,27,1125
id_000004,test,NA,black_dragon_pearls,black,32,1748
id_000005,train,95,yunnan_noir,black,17,988
id_000006,test,NA,earl_grey_moonlight,black,10,2510
id_000007,test,NA,english_breakfast,black,17,1008
id_000008,train,92,keemun_concerto,black,17,499
id_000009,train,95,yunnan_gold,black,40,1094
id_000010,train,94,ceylon_sonata,black,12,1525
id_000011,train,94,earl_grey_lavender,black,10,1638
id_000012,train,95,yunnan_jig,black,17,923
id_000013,train,93,assam_harmony,black,27,492
id_000014,train,90,lapsang_souchong,black,12,1160
id_000015,test,NA,assam_melody,black,12,1029
id_000016,train,94,darjeeling_no2,black,34,497
id_000017,test,NA,darjeeling_no22,black,17,852
id_000018,test,NA,fujian_baroque,black,12,566
id_000019,train,93,keemun_encore,black,47,150
id_000020,test,NA,golden_spring,black,32,331
id_000021,test,NA,rwanda_rukeri,black,8,317
id_000022,test,NA,darjeeling_spring,black,25,144
id_000023,train,93,mambo,black,20,419
id_000024,train,92,ceylon_waltz,black,15,194
id_000025,train,96,earl_grey_bella_luna,black,19,166
id_000026,train,92,red_bloom,black,100,176
id_000027,train,92,keemun_rhapsody,black,32,124
id_000028,train,94,pu_erh_hazelberry,pu_erh,15,830
id_000029,test,NA,pu_erh_poe,pu_erh,37,364
id_000030,train,94,pu_erh_pearls,pu_erh,30,210
id_000031,train,89,pu_erh_dante,pu_erh,17,642
id_000032,train,93,pu_erh_chorange,pu_erh,15,569
id_000033,train,92,pu_erh_spice,pu_erh,15,391
id_000034,train,90,pu_erh_tahiti,pu_erh,15,308
id_000035,test,NA,pumpkin_spice,flavors,10,1056
id_000036,test,NA,apricot,flavors,10,644
id_000037,test,NA,cream,flavors,10,2069
id_000038,train,93,vanilla,flavors,10,1452
id_000039,test,NA,mango,flavors,10,1040
id_000040,train,93,coconut,flavors,10,1438
id_000041,test,NA,chestnut,flavors,10,922
id_000042,train,92,cinnamon,flavors,10,823
id_000043,train,93,raspberry,flavors,10,844
id_000044,train,93,strawberry,flavors,10,950
id_000045,train,92,caramel,flavors,10,1259
id_000046,test,NA,candy_cane,flavors,10,871
id_000047,train,94,hazelnut,flavors,10,971
id_000048,train,95,peach,flavors,10,976
id_000049,train,91,ginger_peach,flavors,10,768
id_000050,train,92,almond,flavors,10,888
id_000051,train,92,passionfruit,flavors,10,653
id_000052,test,NA,summer_rose,flavors,10,881
id_000053,test,NA,orange,flavors,10,490
id_000054,train,89,candy_apple,flavors,10,575
id_000055,train,90,chocolate,flavors,10,898
id_000056,train,93,tiger_eye,flavors,10,898
id_000057,test,NA,forest_berries,flavors,10,634
id_000058,train,92,christmas,flavors,10,1502
id_000059,train,92,oriental_spice,flavors,10,1118
id_000060,train,93,blueberry,flavors,10,886
id_000061,test,NA,ginger,flavors,10,626
id_000062,train,91,currant,flavors,10,461
id_000063,test,NA,valentines,flavors,10,2073
id_000064,train,92,blackberry,flavors,10,754
id_000065,train,88,cherry,flavors,10,523
id_000066,train,91,hibiscus,flavors,10,532
id_000067,test,NA,gingerbread,flavors,10,630
id_000068,train,91,lemon_soleil,flavors,10,677
id_000069,test,NA,pomegranate,flavors,10,409
id_000070,train,91,cranberry,flavors,10,320
id_000071,train,92,chocolate_chip,flavors,10,964
id_000072,test,NA,grapefruit,flavors,10,377
id_000073,test,NA,masala_chai,chai,12,2425
id_000074,train,95,rooibos_vanilla_chai,chai,12,1560
id_000075,train,92,honeybush_pumpkin_chai,chai,12,278
id_000076,train,92,chocolate_chai,chai,12,1372
id_000077,test,NA,spiced_apple_chai,chai,12,1494
id_000078,train,94,thai_chai,chai,12,1551
id_000079,test,NA,green_chai,chai,12,498
id_000080,test,NA,gaucho_mate_chai,chai,12,25
id_000081,train,92,white_chai,chai,12,422
id_000082,train,95,peach_oolong,oolong,15,1356
id_000083,test,NA,jade_oolong,oolong,20,745
id_000084,train,94,ti_kuan_yin,oolong,32,505
id_000085,train,95,ali_shan,oolong,47,371
id_000086,train,92,almond_oolong,oolong,15,1419
id_000087,train,92,milk_oolong,oolong,50,116
id_000088,test,NA,ooooh_darjeeling,oolong,39,684
id_000089,train,94,vanilla_oolong,oolong,15,870
id_000090,test,NA,coconut_pouchong,oolong,29,519
id_000091,train,94,fujian_rain,oolong,19,395
id_000092,train,94,formosa_fancy,oolong,45,508
id_000093,test,NA,grapefruit_oolong,oolong,15,550
id_000094,test,NA,pouchong,oolong,34,489
id_000095,train,94,dancong_aria,oolong,34,328
id_000096,train,93,wuyi_ensemble,oolong,39,467
id_000097,train,92,formosa,oolong,15,851
id_000098,test,NA,silver_needle,white,64,963
id_000099,test,NA,jasmine_silver_needle,white,49,678
id_000100,train,94,white_symphony,white,32,577
id_000101,train,95,white_peach,white,19,1669
id_000102,train,94,white_strawberry,white,19,488
id_000103,train,93,white_peony,white,25,1113
id_000104,train,94,white_blueberry,white,19,1353
id_000105,train,92,white_eternal_spring,white,19,340
id_000106,train,91,white_pear,white,19,814
id_000107,train,94,white_darjeeling,white,46,107
id_000108,test,NA,white_fuzzy_navel,white,19,17
id_000109,train,92,white_grapefruit,white,19,379
id_000110,train,92,white_pearls,white,20,49
id_000111,test,NA,white_tropics,white,19,620
id_000112,train,90,white_tangerine,white,19,495
id_000113,test,NA,snowbud,white,32,575
id_000114,train,88,white_cucumber,white,19,521
id_000115,train,96,dragon_pearl,green,32,1801
id_000116,train,94,gunpowder,green,10,1745
id_000117,train,94,genmai_cha,green,15,1317
id_000118,train,93,dragonwell,green,37,770
id_000119,test,NA,jasmine_yin_hao,green,17,1042
id_000120,train,93,sencha_premier,green,25,332
id_000121,train,95,citron_green,green,12,1693
id_000122,test,NA,gyokuro,green,40,470
id_000123,test,NA,sleeping_dragon,green,12,816
id_000124,train,94,mango_green,green,12,713
id_000125,test,NA,apricot_green,green,12,1244
id_000126,test,NA,casablanca_twist,green,19,1441
id_000127,test,NA,kukicha,green,17,569
id_000128,train,91,pomegranate_green,green,12,630
id_000129,train,93,sencha,green,20,470
id_000130,train,93,vanilla_green,green,12,879
id_000131,test,NA,cocomint_green,green,12,1052
id_000132,train,89,cherry_green,green,12,638
id_000133,train,93,jasmine,green,12,768
id_000134,train,93,raspberry_green,green,12,549
id_000135,train,93,white_monkey,green,24,986
id_000136,train,91,ginseng_green,green,12,598
id_000137,train,92,green_pekoe,green,19,372
id_000138,test,NA,earl_grey_green,green,12,668
id_000139,train,91,mandarin_green,green,12,574
id_000140,train,94,calypso_green,green,12,370
id_000141,train,95,hunan_gold,green,32,182
id_000142,test,NA,jade_snail,green,22,158
id_000143,train,93,green_dragon_pearls,green,22,205
id_000144,train,92,hojicha,green,14,681
id_000145,train,94,anhui_emerald_seed,green,44,182
id_000146,train,92,pi_lo_chun,green,30,387
id_000147,train,92,green_assam,green,17,11
id_000148,train,89,silver_sprout,green,10,182
id_000149,train,93,spiced_green,green,12,544
id_000150,train,93,lemon_meringue_green,green,12,67
id_000151,train,91,artichoke_green,green,12,260
id_000152,train,99,autumn_mist_green,green,12,28
id_000153,train,94,matcha,matcha,60,543
id_000154,test,NA,matcha_raspberry,matcha,60,17
id_000155,train,92,matcha_peach,matcha,60,37
id_000156,train,91,matcha_chocolate,matcha,60,21
id_000157,train,84,matcha_cinnamon_apple,matcha,60,7
id_000158,train,92,matcha_mocha,matcha,60,21
id_000159,train,91,bonfire,herbal,10,48
id_000160,test,NA,blood_orange,herbal,12,2436
id_000161,train,97,peppermint,herbal,12,2354
id_000162,test,NA,chamomile,herbal,12,2416
id_000163,train,96,foxtrot,herbal,14,2028
id_000164,train,94,berry_blast,herbal,12,971
id_000165,train,95,cha_cha,herbal,14,1091
id_000166,train,94,raspberry_patch,herbal,12,926
id_000167,test,NA,wild_strawberry,herbal,12,1556
id_000168,test,NA,fruit_medley,herbal,12,1010
id_000169,train,91,dewy_cherry,herbal,12,821
id_000170,train,96,spearmint,herbal,12,1347
id_000171,test,NA,lemon_grass,herbal,12,1121
id_000172,train,94,berry_blues,herbal,12,810
id_000173,train,91,yerba_mate,herbal,10,384
id_000174,train,92,mocha_nut_mate,herbal,10,781
id_000175,train,91,mango_melange,herbal,12,519
id_000176,train,92,sour_apple,herbal,12,680
id_000177,train,92,watermelon_cooler,herbal,12,458
id_000178,test,NA,pina_colada,herbal,12,988
id_000179,test,NA,citrus_mate,herbal,10,277
id_000180,test,NA,key_lime_herbal,herbal,12,43
id_000181,test,NA,spiced_mate,herbal,10,249
id_000182,train,91,toasted_mate,herbal,10,292
id_000183,train,91,mango_mate,herbal,10,171
id_000184,train,95,berry_creme_compote,herbal,12,44
id_000185,test,NA,rooibos_vanilla,rooibos,10,1566
id_000186,test,NA,rooibos,rooibos,10,795
id_000187,test,NA,honeybush_hazelnut,rooibos,15,725
id_000188,train,96,green_rooibos_bonita,rooibos,12,656
id_000189,train,92,rooibos_cinnamon_apple,rooibos,10,799
id_000190,test,NA,honeybush_vanilla,rooibos,15,588
id_000191,train,95,green_rooibos_blueberry,rooibos,12,417
id_000192,train,92,rooibos_earl_grey,rooibos,10,427
id_000193,test,NA,rooibos_caramel,rooibos,10,826
id_000194,train,92,honeybush,rooibos,15,442
id_000195,train,93,rooibos_peach,rooibos,10,438
id_000196,train,91,honeybush_chocolate,rooibos,15,463
id_000197,train,94,honeybush_mango,rooibos,15,291
id_000198,test,NA,rooibos_jasmine,rooibos,10,525
id_000199,test,NA,rooibos_almond,rooibos,10,526
id_000200,test,NA,rooibos_cocomint,rooibos,10,534
id_000201,train,93,honeybush_apricot,rooibos,15,311
id_000202,train,94,green_rooibos_key_west,rooibos,12,361
id_000203,test,NA,rooibos_mango,rooibos,10,410
id_000204,test,NA,rooibos_lemon_cloud,rooibos,10,539
id_000205,test,NA,rooibos_orange,rooibos,10,355
id_000206,test,NA,green_rooibos_citron,rooibos,12,310
id_000207,test,NA,green_rooibos,rooibos,12,219
id_000208,train,93,honeybush_orange,rooibos,15,208
id_000209,train,88,rooibos_tropics,rooibos,10,240
id_000210,train,87,rooibos_berry,rooibos,10,254
id_000211,test,NA,decaf_earl_grey,decaf,15,659
id_000212,test,NA,decaf_vanilla,decaf,15,506
id_000213,train,93,decaf_ceylon,decaf,15,429
id_000214,test,NA,decaf_peach,decaf,15,346
id_000215,train,94,decaf_chai,decaf,15,101
id_000216,train,95,decaf_apricot,decaf,15,234
id_000217,test,NA,decaf_spice,decaf,15,320
id_000218,train,94,decaf_strawberry,decaf,15,283
id_000219,test,NA,decaf_orange,decaf,15,166
id_000220,train,94,decaf_mango,decaf,15,257
id_000221,train,92,decaf_blueberry,decaf,15,211
id_000222,train,94,decaf_raspberry,decaf,15,283
id_000223,train,89,decaf_tropics,decaf,15,139
id_000224,train,97,fujian_ti_kuan_yin,masters,96,159
id_000225,train,97,fujian_jasmine_pearl,masters,62,287
id_000226,train,96,formosa_ali_shan,masters,74,137
id_000227,train,96,yunnan_golden_curls,masters,73,284
id_000228,train,96,uji_matcha,masters,156,43
id_000229,train,97,formosa_pouchong,masters,91,196
id_000230,train,95,wuyi_da_hong_pao,masters,142,92
id_000231,test,NA,hsinchu_oriental_beauty,masters,196,68
id_000232,train,91,darjeeling_spring_tip,masters,157,40
id_000233,train,91,yunnan_golden_pu_erh,masters,157,112
id_000234,train,93,anhui_keemun,masters,86,78
id_000235,train,95,shizuoka_shincha,masters,94,50
id_000236,test,NA,zhejiang_lung_ching,masters,157,45
id_000237,test,NA,fujian_silver_needle,masters,157,69
id_000238,test,NA,yunnan_pu_erh_white,masters,157,58
